1073 ,PC802_0 PFI 0 PRINTF: msg=,0x032BB220, dir_q,0x02,ALLOC, type= ,1, size0=0, SLot_SFN  ,0x000700FD, mcycle,318857537
1074 ,PC802_0 PFI 0 PRINTF: msg=,0x032BB220, dir_q,0x02,PUT  , type= ,2, size0=0, SLot_SFN  ,0x000700FD, mcycle,318867121
1075 ,PC802_0 PFI 0 PRINTF: msg=,0x0323E8A0, dir_q,0x12,GET  , type= ,2, size0=0, SLot_SFN  ,0x000800FD, mcycle,319271419
1076 ,PC802_0 PFI 0 PRINTF: msg=,0x0323E8A0, dir_q,0x12,FREE , type= ,2, size0=0, SLot_SFN  ,0x000800FD, mcycle,319279041
1077 ,PC802_0 PFI 0 PRINTF: msg=,0x032CB220, dir_q,0x02,ALLOC, type= ,1, size0=0, SLot_SFN  ,0x000800FD, mcycle,319282707
1078 ,PC802_0 PFI 0 PRINTF: msg=,0x032CB220, dir_q,0x02,PUT  , type= ,2, size0=0, SLot_SFN  ,0x000800FD, mcycle,319292324
1079 ,PC802_0 PFI 0 PRINTF: msg=,0x032468A0, dir_q,0x12,GET  , type= ,2, size0=0, SLot_SFN  ,0x000900FD, mcycle,319695058
1080 ,PC802_0 PFI 0 PRINTF: msg=,0x032468A0, dir_q,0x12,FREE , type= ,2, size0=0, SLot_SFN  ,0x000900FD, mcycle,319702685
1081 ,PC802_0 PFI 0 PRINTF: msg=,0x12C29420, dir_q,0x01,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x000900FD, mcycle,319716104
1082 ,PC802_0 PFI 0 PRINTF: msg=,0x032D3220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000900FD, mcycle,319722742
1083 ,PC802_0 PFI 0 PRINTF: msg=,0x12C29420, dir_q,0x01,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000900FD, mcycle,319740567
1084 ,PC802_0 PFI 0 PRINTF: msg=,0x032D3220, dir_q,0x02,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000900FD, mcycle,319741584
1085 ,PC802_0 PFI 0 PRINTF: msg=,0x0322E8A0, dir_q,0x12,GET  , type= ,1, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320123046
1086 ,PC802_0 PFI 0 PRINTF: msg=,0x0322E8A0, dir_q,0x12,FREE , type= ,1, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320130651
1087 ,PC802_0 PFI 0 PRINTF: msg=,0x1200A540, dir_q,0x11,GET  , type= ,0, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320131403
1088 ,PC802_0 PFI 0 PRINTF: msg=,0x1200A540, dir_q,0x11,FREE , type= ,0, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320144002
1089 ,PC802_0 PFI 0 PRINTF: msg=,0x12C02020, dir_q,0x01,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320157395
1090 ,PC802_0 PFI 0 PRINTF: msg=,0x032C3220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320164028
1091 ,PC802_0 PFI 0 PRINTF: msg=,0x12C02020, dir_q,0x01,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320181695
1092 ,PC802_0 PFI 0 PRINTF: msg=,0x032C3220, dir_q,0x02,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000A00FD, mcycle,320182718
1093 ,PC802_0 PFI 0 PRINTF: msg=,0x032368A0, dir_q,0x12,GET  , type= ,1, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320549733
1094 ,PC802_0 PFI 0 PRINTF: msg=,0x032368A0, dir_q,0x12,FREE , type= ,1, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320557454
1095 ,PC802_0 PFI 0 PRINTF: msg=,0x12014360, dir_q,0x11,GET  , type= ,0, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320558206
1096 ,PC802_0 PFI 0 PRINTF: msg=,0x12014360, dir_q,0x11,FREE , type= ,0, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320570806
1097 ,PC802_0 PFI 0 PRINTF: msg=,0x12C29420, dir_q,0x01,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320584148
1098 ,PC802_0 PFI 0 PRINTF: msg=,0x032BB220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320590793
1099 ,PC802_0 PFI 0 PRINTF: msg=,0x12C29420, dir_q,0x01,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320608551
1100 ,PC802_0 PFI 0 PRINTF: msg=,0x032BB220, dir_q,0x02,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000B00FD, mcycle,320609562
1101 ,PC802_0 PFI 0 PRINTF: msg=,0x0323E8A0, dir_q,0x12,GET  , type= ,2, size0=0, SLot_SFN  ,0x000C00FD, mcycle,320973982
1102 ,PC802_0 PFI 0 PRINTF: msg=,0x0323E8A0, dir_q,0x12,FREE , type= ,2, size0=0, SLot_SFN  ,0x000C00FD, mcycle,320981880
