PFI 0 PRINTF(   413 :   46183545): msg=0x032B11E0,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x05020008,mcycle=, 43203714
PFI 0 PRINTF(   413 :   46184246): msg=0x032B91E0,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x06030008,mcycle=, 43675819
PFI 0 PRINTF(   413 :   46184946): msg=0x032B91E0,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x06030008,mcycle=, 43702287
PFI 0 PRINTF(   413 :   46185648): msg=0x032C11E0,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x07040008,mcycle=, 44178295
PFI 0 PRINTF(   413 :   46199577): msg=0x032C11E0,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x07040008,mcycle=, 44202174
PFI 0 PRINTF(   413 :   46200277): msg=0x032C91E0,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x08050008,mcycle=, 44656321
PFI 0 PRINTF(   413 :   46200975): msg=0x032C91E0,dir_q=,0x02,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x08050008,mcycle=, 44670041
PFI 0 PRINTF(   413 :   46201672): msg=0x032B11E0,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x09060008,mcycle=, 45154625
PFI 0 PRINTF(   413 :   46202370): msg=0x032B11E0,dir_q=,0x02,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x09060008,mcycle=, 45170729
PFI 0 PRINTF(   413 :   46203067): msg=0x032B91E0,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x0A070008,mcycle=, 45651220
PFI 0 PRINTF(   413 :   46203765): msg=0x032B91E0,dir_q=,0x02,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x0A070008,mcycle=, 45664960
PFI 0 PRINTF(   413 :   46205850): msg=0x12C02020,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xC80D0007,mcycle=, 38665351
PFI 0 PRINTF(   413 :   46206551): msg=0x12C02020,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xC80D0007,mcycle=, 38699472
PFI 0 PRINTF(   413 :   46207251): msg=0x12C15840,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xC90E0007,mcycle=, 39168709
PFI 0 PRINTF(   413 :   46207951): msg=0x12C15840,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xC90E0007,mcycle=, 39200332
PFI 0 PRINTF(   413 :   46208652): msg=0x12C29060,dir_q=,0x01,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0xCA130007,mcycle=, 41665859
PFI 0 PRINTF(   413 :   46209353): msg=0x12C29060,dir_q=,0x01,PUT   ,type= ,0, size0=0, SLot_SFN = ,0xCA130007,mcycle=, 41697687
