PFI 1 PRINTF(   144 : 1647080788): msg=0x032B11E0,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x05020008,mcycle=,1644103982
PFI 1 PRINTF(   144 : 1647081521): msg=0x032C91E0,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x04030008,mcycle=,1644487704
PFI 1 PRINTF(   144 : 1647082221): msg=0x032B91E0,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x06030008,mcycle=,1644602915
PFI 1 PRINTF(   144 : 1647082954): msg=0x032B11E0,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x05040008,mcycle=,1644988001
PFI 1 PRINTF(   144 : 1647083654): msg=0x032C11E0,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x07040008,mcycle=,1645102903
PFI 1 PRINTF(   144 : 1647084384): msg=0x032B91E0,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x06050008,mcycle=,1645487797
PFI 1 PRINTF(   144 : 1647098167): msg=0x032C91E0,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x08050008,mcycle=,1645570072
PFI 1 PRINTF(   144 : 1647098904): msg=0x032C11E0,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x07060008,mcycle=,1645987536
PFI 1 PRINTF(   144 : 1647099608): msg=0x032B11E0,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x09060008,mcycle=,1646071434
PFI 1 PRINTF(   144 : 1647100309): msg=0x032C91E0,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x08070008,mcycle=,1646487423
PFI 1 PRINTF(   144 : 1647101006): msg=0x032B91E0,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x0A070008,mcycle=,1646565741
PFI 1 PRINTF(   144 : 1647101704): msg=0x032B11E0,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x09080008,mcycle=,1646987759
PFI 1 PRINTF(   144 : 1647103800): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xC80E0007,mcycle=,1640005187
