PFI 1 PRINTF(    91 :  200489247): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3B0B005C,mcycle=,197812866
PFI 1 PRINTF(    91 :  200489944): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3D0B005C,mcycle=,197927445
PFI 1 PRINTF(    91 :  200490671): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3C0C005C,mcycle=,198312483
PFI 1 PRINTF(    91 :  200491368): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3E0C005C,mcycle=,198417887
PFI 1 PRINTF(    91 :  200492095): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3D0D005C,mcycle=,198812869
PFI 1 PRINTF(    91 :  200526923): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3F0D005C,mcycle=,198919587
PFI 1 PRINTF(    91 :  200527624): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3E0E005C,mcycle=,199312907
PFI 1 PRINTF(    91 :  200528326): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x400F005C,mcycle=,199826811
PFI 1 PRINTF(    91 :  200529027): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3F0F005C,mcycle=,199835809
PFI 1 PRINTF(    91 :  200529724): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x410F005C,mcycle=,199887631
PFI 1 PRINTF(    91 :  200530422): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x4010005C,mcycle=,200312064
PFI 1 PRINTF(    91 :  200532485): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7D06005C,mcycle=,195313427
PFI 1 PRINTF(    91 :  200533213): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7E06005C,mcycle=,195328575
PFI 1 PRINTF(    91 :  200533911): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7E07005C,mcycle=,195813821
PFI 1 PRINTF(    91 :  200534639): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7F09005C,mcycle=,196827169
PFI 1 PRINTF(    91 :  200535338): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7F0A005C,mcycle=,197313494
PFI 1 PRINTF(    91 :  200536066): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x800A005C,mcycle=,197328503
PFI 1 PRINTF(    91 :  200536763): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x800B005C,mcycle=,197813643
PFI 1 PRINTF(    91 :  200537490): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x810B005C,mcycle=,197828902
PFI 1 PRINTF(    91 :  200572862): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x810C005C,mcycle=,198313268
PFI 1 PRINTF(    91 :  200573589): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x820C005C,mcycle=,198328038
PFI 1 PRINTF(    91 :  200574289): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x820D005C,mcycle=,198813632
PFI 1 PRINTF(    91 :  200575016): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x830D005C,mcycle=,198828864
PFI 1 PRINTF(    91 :  200575713): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x830E005C,mcycle=,199313648
PFI 1 PRINTF(    91 :  200576410): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x840E005C,mcycle=,199328567
PFI 1 PRINTF(    91 :  200577108): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x840F005C,mcycle=,199812373
PFI 1 PRINTF(    91 :  200577805): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x8510005C,mcycle=,200327225
PFI 1 PRINTF(   137 :  409493888): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x5F04019E,mcycle=,405493297
PFI 1 PRINTF(   137 :  409494591): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x5D04019E,mcycle=,405526064
PFI 1 PRINTF(   137 :  409495321): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x6005019E,mcycle=,405993551
