PFI 12 PRINTF(    91 :  200489215): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3F0D005C,mcycle=,198919587
PFI 12 PRINTF(    91 :  200489942): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3606005C,mcycle=,195312620
PFI 12 PRINTF(    91 :  200490639): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3806005C,mcycle=,195378633
PFI 12 PRINTF(    91 :  200491366): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3707005C,mcycle=,195813041
PFI 12 PRINTF(    91 :  200492063): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3907005C,mcycle=,195902027
PFI 12 PRINTF(    91 :  200527052): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3808005C,mcycle=,196311995
PFI 12 PRINTF(    91 :  200527749): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3A08005C,mcycle=,196446876
PFI 12 PRINTF(    91 :  200528476): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3909005C,mcycle=,196811728
PFI 12 PRINTF(    91 :  200529173): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3B09005C,mcycle=,196938533
PFI 12 PRINTF(    91 :  200529900): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3A0A005C,mcycle=,197312752
PFI 12 PRINTF(    91 :  200530597): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3C0A005C,mcycle=,197397540
PFI 12 PRINTF(    91 :  200532680): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x800B005C,mcycle=,197813643
PFI 12 PRINTF(    91 :  200533407): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x810B005C,mcycle=,197828902
PFI 12 PRINTF(    91 :  200534104): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x810C005C,mcycle=,198313268
PFI 12 PRINTF(    91 :  200534832): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x820C005C,mcycle=,198328038
PFI 12 PRINTF(    91 :  200535529): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x820D005C,mcycle=,198813632
PFI 12 PRINTF(    91 :  200536256): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x830D005C,mcycle=,198828864
PFI 12 PRINTF(    91 :  200536953): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x830E005C,mcycle=,199313648
PFI 12 PRINTF(    91 :  200537680): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x840E005C,mcycle=,199328567
PFI 12 PRINTF(    91 :  200572784): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7C05005C,mcycle=,194813070
PFI 12 PRINTF(    91 :  200573511): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7D05005C,mcycle=,194828658
PFI 12 PRINTF(    91 :  200574208): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7D06005C,mcycle=,195313427
PFI 12 PRINTF(    91 :  200574935): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7E06005C,mcycle=,195328575
PFI 12 PRINTF(    91 :  200575632): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7E07005C,mcycle=,195813821
PFI 12 PRINTF(    91 :  200576359): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7F09005C,mcycle=,196827169
PFI 12 PRINTF(    91 :  200577056): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7F0A005C,mcycle=,197313494
PFI 12 PRINTF(    91 :  200577753): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x800A005C,mcycle=,197328503
PFI 12 PRINTF(   257 :  829220609): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3401031C,mcycle=,827641892
PFI 12 PRINTF(   257 :  829221315): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3201031C,mcycle=,827675130
PFI 12 PRINTF(   257 :  829222048): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3502031C,mcycle=,828141417
PFI 12 PRINTF(   257 :  829222745): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3302031C,mcycle=,828174221
PFI 12 PRINTF(   257 :  829223472): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3603031C,mcycle=,828640487
PFI 12 PRINTF(   257 :  829224169): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3403031C,mcycle=,828647481
PFI 12 PRINTF(   257 :  829224896): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3704031C,mcycle=,829140219
